id,vendedor,tag_loja,avaliacoes,descricao,fl_item_ativo,link,produtos_a_venda,produtos_vendidos,tempo_medio_envio,no_enjoei_desde,anomesdia_particao
703,alexandre,"são paulo, SP",(207 avaliações),"famicom mini: super mario bros. para o game boy advance (gba), especificamente a edição de 20º aniversário lançada somente no japãocompleto, verdadeiro cibtudo em ótimo estado de conservação e funcionamentopara colecionadores!!!!!!!!!!!!!!!!#famicommini #importado #edicaolimitada #mario20th #nintendorare #cib #jogosantigos #itemdecolecionador",1,https://www.enjoei.com.br/p/jogo-para-game-boy-serie-famicom-mini-super-mariobros-original-completo-cib-em-excelente-estado-138449162?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=21,130,355,1 dia,out/2020,20260711
704,carol,"São Paulo, SP",(0 avaliação),"cabine uv/led arte sedução 120w, nova. ideal para secagem rápida e eficiente de esmaltação em gel, fibra e alongamentos. possui display digital com contador de tempo, temporizadores de 10s, 30s, 60s e modo de baixa temperatura (99s), além de sensor de presença.",1,https://www.enjoei.com.br/p/cabine-uv-led-arte-seducao-120w-146267612?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=22,3,0,n/a,jan/2021,20260711
705,pietra,loja em destaque,(2 avaliações),"lâmpada uv/led portátil para unhas, modelo yc01. possui tecnologia 2 em 1 uv/led, ideal para secagem de esmaltes em gel. usada poucas vezes, em ótimo estado de conservação. permite secar um dedo por vez.",1,https://www.enjoei.com.br/p/lampada-uv-led-para-unhas-yc01-146179835?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=23,6,6,3 dias,mar/2025,20260711
706,lara,"dracena, SP",(3 avaliações),"babyliss salon line sigma de 25mm, na cor rosa e branco. possui voltagem de 127-220v e potência de 45w. ideal para criar cachos definidos. produto usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/babyliss-salon-line-sigma-25mm-142648159?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=24,5,5,1 dia,set/2017,20260711
707,renata,"Ananindeua, PA",(0 avaliação),"smartwatch garmin forerunner 165 na cor branca, seminovo. a bateria tem duração de até 1 semana. acompanha carregador e caixa original. ideal para monitoramento de atividades físicas e uso diário.",1,https://www.enjoei.com.br/p/smartwatch-garmin-forerunner-165-branco-146302553?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=25,1,0,n/a,ago/2019,20260711
708,luiz,"Curitiba, PR",(4 avaliações),"para quem ama construir e explorar, lego worlds para ps4 é o jogo perfeito!  crie seus próprios mundos, descubra tesouros e solte a imaginação sem limites.o jogo é da linha playstation hits, em mídia física. a capinha e o disco estão super bem conservados e funcionando perfeitamente.",1,https://www.enjoei.com.br/p/jogo-lego-worlds-ps4-midia-fisica-146248695?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=26,24,10,5 dias,jan/2026,20260711
709,alinee,"São Paulo, SP",(0 avaliação),"modelador de cachos taiff curves, novo, na cor preta. possui 1 polegada (25mm) de diâmetro, temperatura constante de 210°c e cabo giratório de 3 metros. bivolt. ideal para criar cachos abertos ou fechados. medidas: altura 3,9cm, largura 8,9cm, comprimento 32,4cm. peso: 296g.",1,https://www.enjoei.com.br/p/modelador-de-cachos-taiff-curves-1-polegada-146060575?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=27,4,0,n/a,jun/2026,20260711
710,alexandre,"são paulo, SP",(207 avaliações),"relógio gshock casio - mod. n. 3525 stranger things - colecionável - novo, na caixa abertacomprado nos eua, poucas unidades vendidas no mundovenda somente pelo valor do anúncio, só venda!#casio #strangerthings #casiooriginal #relogiocasio #colecionador #netflix #strangerthings4 #geek #relogiovintage #edicaolimitada #casiof91w #upsidedown",1,https://www.enjoei.com.br/p/stranger-things-casio-g-shock-novo-na-caixa-original-observacao-nao-aceito-ofertas-136440170?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=28,130,355,1 dia,out/2020,20260711
711,alessandra,"são paulo, SP",(3 avaliações),"iphone 6s na cor rose gold, com 32gb de armazenamento. a capacidade máxima da bateria é de 74%. o aparelho está em bom estado de conservação, ideal para quem busca um smartphone apple com bom custo-benefício. não acompanha carregador e fone de ouvido.",1,https://www.enjoei.com.br/p/iphone-6s-rose-gold-32gb-145911056?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=29,7,4,n/a,abr/2021,20260711
712,suelen,loja em destaque,(1024 avaliações),"câmera vintage em bom estado de funcionamento, possui marcas de uso na tela e carcaça mas nada que atrapalha no seu funcionamento. alimentação a pilha. use sempre pilha duracel. não acompanha cartão de memória mas possui memória interna. entrega para todo brasil. fotografia é vida",1,https://www.enjoei.com.br/p/camera-kodak-2-mp-easyshare-cx6200-145032535?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=10&rspix=30,214,3 mil,1 dia,mai/2024,20260711
713,coisas,"Brasília, DF",(75 avaliações),leve estilo e boas vibrações com a alça paz!miçangas delicadas e resistentessímbolos da paz estrategicamente posicionadosperfeita para presentear ou usar no dia a diacombina com qualquer capinhaa coisas da kk cria produtos prensados em você!,1,https://www.enjoei.com.br/p/alca-para-celular-colorido-paz-137331176?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,55,235,3 dias,dez/2017,20260711
714,coisas,"Brasília, DF",(75 avaliações),deixe seu celular cheio de alegria com a alça smile!miçangas delicadas e resistentesdetalhes divertido de smile que chama atençãoperfeita para presentear ou usar no dia a diacombina com qualquer capinhaa coisas da kk cria produtos pensados para você!,1,https://www.enjoei.com.br/p/alca-para-celular-preta-smile-137328318?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,55,235,3 dias,dez/2017,20260711
715,dayane,"Curitiba, PR",(9 avaliações),"câmera digital nikon coolpix l110 com 12.1 megapixels e super zoom óptico de 15x. na cor preta, acompanha estojo. usada, mas funcionando perfeitamente, ideal para quem busca qualidade e praticidade em suas fotos.",1,https://www.enjoei.com.br/p/camera-digital-nikon-coolpix-l110-12-1mp-145833321?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,24,13,3 dias,ago/2014,20260711
716,marcelo,"São Paulo, SP",(26 avaliações),"se você ama o charme do design antigo, mas não abre mão da praticidade moderna, este rádio retrô é perfeito para você!  com um visual vintage elegante e acabamento premium texturizado, ele decora qualquer ambiente enquanto entrega alta fidelidade sonora e conectividade completa.",1,https://www.enjoei.com.br/p/radio-retro-ad-8282-145600507?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,85,22,1 dia,mar/2019,20260711
717,luna,"Rio de Janeiro, RJ",(2 avaliações),"controle nintendo wii na cor branca, nunca usado e ainda na caixa. acompanha capinha de silicone para proteção. ideal para quem busca um controle novo para seu console wii.",1,https://www.enjoei.com.br/p/controle-nintendo-wii-branco-146261190?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,2,2,n/a,jun/2024,20260711
718,coisas,"Brasília, DF",(75 avaliações),deixe seu celular mais bonito e divertido com a alça rosa glow!miçangas delicadas e resistentesperfeita para presentear ou usar no dia a diacombina com qualquer capinhaa coisas da kk cria produtos pensados para você!,1,https://www.enjoei.com.br/p/alca-para-celular-rosa-rosa-glow-137331709?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=6,55,235,3 dias,dez/2017,20260711
719,gabriel,"brasília, DF",(237 avaliações),"tripé targus tgt-58tr na cor cinza, ideal para câmeras e celulares. possui cabeça com nível bolha para ajuste preciso e acompanha bolsa para transporte. usado em ótimo estado de conservação.# tripe celuar, tripe camera, estabilizador #",1,https://www.enjoei.com.br/p/tripe-targus-tgt-58tr-cinza-144833079?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=7,43,660,8 dias,dez/2018,20260711
720,helene,"Leme, SP",(35 avaliações),escova secadora.nunca foi usada.esta na caixa.,1,https://www.enjoei.com.br/p/escova-secadora-nova-129243705?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=8,13,71,3 dias,nov/2021,20260711
721,rodrigo,loja em destaque,(3 avaliações),"kit com 2 fans rgb phanteks m25, 120mm, pwm, 4 pinos, pretas, até 2000 rpm, air flow max. 84,3 cfm. ótimas para gabinete e water coolers, poderosas.",1,https://www.enjoei.com.br/p/kit-2-fans-rgb-phanteks-m25-146390082?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=9,6,12,2 dias,mar/2024,20260711
722,fabiano,"Juiz de Fora, MG",(3 avaliações),"escova secadora relaxbeauty ultra dry professional 3 em 1, na cor preta, com 1200w de potência. possui revestimento cerâmico, 3 seletores de temperatura e atinge 140°c. design inteligente com cerdas mistas flexíveis e pontas arredondadas. cabo giratório 360° para maior flexibilidade.",1,https://www.enjoei.com.br/p/escova-secadora-relaxbeauty-3-em-1-1200w-146288342?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=10,1,4,n/a,mai/2025,20260711
723,raphael,loja em destaque,(0 avaliação),"lente analógica nikon nikkor-s auto 50mm f/1.4, fabricada no japão. ideal para fotografia analógica, oferece excelente qualidade de imagem e abertura de f/1.4 para fotos com pouca luz e desfoque de fundo. em bom estado de conservação.",1,https://www.enjoei.com.br/p/lente-nikon-nikkor-s-auto-50mm-f-1-4-146288345?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=11,5,1,n/a,out/2015,20260711
724,naiara,"Toledo, PR",(3 avaliações),"kindle paperwhite de 10ª geração, em excelente estado de conservação e funcionando perfeitamente. possui tela com iluminação embutida, ideal para leitura noturna, e bateria com ótima duração. acompanha capa transparente de proteção. sem detalhes ou defeitos. - acompanha 2 capinhas.",1,https://www.enjoei.com.br/p/kindle-paperwhite-10-geracao-145923688?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=12,12,11,3 dias,jul/2018,20260711
725,karoline,loja em destaque,(505 avaliações),"câmera digital olympus vg-120, 14 megapixel, com zoom óptico de 5x e gravação hd. ideal para fotos e vídeos do dia a dia. usada, mas em ótimo estado de conservação.acompanha carregador digital universal, bateria e cartão de memória",1,https://www.enjoei.com.br/p/camera-digital-olympus-vg-120-14-megapixel-144660311?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=13,166,1 mil,1 dia,set/2020,20260711
726,luzia,loja em destaque,(49 avaliações),"console nintendo ds fat (ntr-001) original japonês na cor azul turquesa. funcionando normalmente. acompanha caneta stylus original e cabo paralelo usb para carga. compatível com jogos de nintendo ds e game boy advance. produto usado, original nintendo, testado e funcionando.",1,https://www.enjoei.com.br/p/console-nintendo-ds-fat-japones-azul-turqueza-146419677?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=14,440,129,1 dia,mar/2018,20260711
727,juliana,"Mogi das Cruzes, SP",(0 avaliação),"babá eletrônica motorola vm36xl | tela 5segurança e tranquilidade para monitorar seu bebê 24h! com imagem nítida, visão noturna, áudio bidirecional e alcance de até 300m, permite acompanhar cada momento com praticidade. possui câmera com rotação e zoom, sons relaxantes e monitoramento de temperatura. ideal para o dia e a noite.",1,https://www.enjoei.com.br/p/baba-eletronica-motorola-vm36xl-branca-monitor-5-visao-noturna-144847109?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=15,5,0,n/a,nov/2017,20260711
728,ygor,"Monte Carmelo, MG",(0 avaliação),jogo lego marvel nintendo 3ds,1,https://www.enjoei.com.br/p/jogo-nintendo-3ds-lego-marvel-jpn-145787850?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,93,2,n/a,nov/2020,20260711
729,ygor,"Monte Carmelo, MG",(0 avaliação),jogo uncharted drake's fortune playstation 3 ps3,1,https://www.enjoei.com.br/p/jogo-uncharted-drake-s-fortune-ps3-145663901?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,93,2,n/a,nov/2020,20260711
730,ygor,"Monte Carmelo, MG",(0 avaliação),jogo lego batman 3 beyond gotham xbox 360 original,1,https://www.enjoei.com.br/p/jogo-lego-batman-3-beyond-gotham-xbox-360-original-145438653?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,93,2,n/a,nov/2020,20260711
731,ygor,"Monte Carmelo, MG",(0 avaliação),"jogo bioshock infinite para ps3, em ótimo estado de conservação. inclui o bioshock original. compatível com playstation move.",1,https://www.enjoei.com.br/p/jogo-bioshock-infinite-ps3-144957694?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,93,2,n/a,nov/2020,20260711
732,ygor,"Monte Carmelo, MG",(0 avaliação),jogo lego jurassic world xbox 360 original,1,https://www.enjoei.com.br/p/jogo-lego-jurassic-world-xbox-360-original-145439074?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,93,2,n/a,nov/2020,20260711
733,glauber,loja em destaque,(484 avaliações),"notebook sony vaio, modelo vgn-cs325j, processador core 2 duo. o notebook está em bom estado de conservação, ideal para uso diário.obs: precisa formatar",1,https://www.enjoei.com.br/p/notebook-sony-vaio-core-2-duo-vgn-cs325j-143955022?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=16,716,2 mil,1 dia,dez/2019,20260711
734,ricardo,loja em destaque,(57 avaliações),"teclado logitech k120 original, na caixa nacional com fundo azul e logo antigo do sol. item do início da década de 2010 (aprox. 2012), perfeito para entusiastas de setup de época, colecionadores e entusiastas de retrocomputing. para quem busca nostalgia ou quer completar a coleção!",1,https://www.enjoei.com.br/p/teclado-logitech-k120-original-146083990?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=17,272,122,6 dias,jul/2024,20260711
735,emanuela,loja em destaque,(17 avaliações),"capinha de celular colorida em tons neon, com efeito arco-íris, para iphone 11 pro max. feita em silicone, oferece proteção e estilo para o seu aparelho. usada, mas em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/capinha-iphone-11-pro-max-neon-colorida-146083812?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=18,338,44,1 dia,mar/2022,20260711
736,brenda,"belo horizonte, MG",(75 avaliações),capa silicone case iphone 14 pro max lilás nova,1,https://www.enjoei.com.br/p/capa-silicone-iphone-14-pro-max-lilas-nova-145909139?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=19,144,182,1 dia,mar/2014,20260711
737,larissa,loja em destaque,(2668 avaliações),guitarra guitar hero playstation 2 universal japanestá em ótimo estado,1,https://www.enjoei.com.br/p/guitarra-guitar-hero-playstation-2-universal-japan-145632289?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=20,1 mil,7 mil,1 dia,fev/2017,20260711
738,valentina,"bagé, RS",(0 avaliação),"capinha para iphone 15 pro max na cor vermelha, em ótimas condições. protege seu aparelho com estilo e segurança.",1,https://www.enjoei.com.br/p/capinha-iphone-15-pro-max-vermelha-144480457?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=21,17,0,n/a,fev/2026,20260711
739,fábio,"Ourinhos, SP",(10 avaliações),"memória ram ballistix crucial de 4gb ddr4, ideal para upgrade ou montagem de computadores. produto em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/memoria-ram-ballistix-crucial-4gb-ddr4-141964632?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=22,13,21,1 dia,out/2016,20260711
740,joão,"Mogi das Cruzes, SP",(0 avaliação),"tripé para celular, novo, na cor preta. ideal para tirar fotos e gravar vídeos com estabilidade. compatível com diversos modelos de celular. nunca usado, em perfeito estado.",1,https://www.enjoei.com.br/p/tripe-para-celular-novo-146390074?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=23,5,1,n/a,jul/2021,20260711
741,nathaly,"Niterói, RJ",(0 avaliação),"headset jbl com fio e microfone removível. produto quase não foi usado, acompanha caixa original. originalmente comprado na kabum. muito confortável e com excelente abafamento de ruídos externos.",1,https://www.enjoei.com.br/p/headset-gamer-jbl-quantum-250-com-microfone-roxo-146407165?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=24,1,2,n/a,dez/2019,20260711
742,coisas,"Brasília, DF",(75 avaliações),deixe seu celular divertido e cheio de estilo com a alça frutinhas!miçangas delicadas e resistentescores vibrantes e divertidasperfeita para presentear ou usar no dia a diacombina com qualquer capinhaa coisas da kk cria produtos pensados em você!,1,https://www.enjoei.com.br/p/alca-para-celular-branca-frutinhas-137330735?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=25,55,235,3 dias,dez/2017,20260711
743,paulo,loja em destaque,(36 avaliações),case gamesir x2 usb-c na cor preta com detalhes em vermelho. ideal para guardar e proteger seu gamesir. possui compartimento interno em tela para acessórios. em excelente estado de uso e conservação.,1,https://www.enjoei.com.br/p/case-gamesir-x2-usb-c-preto-146143643?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=26,67,85,1 dia,jul/2023,20260711
744,renato,"Rio de Janeiro, RJ",(5 avaliações),"placa de vídeo gigabyte geforce rtx 3080 gaming oc 10gbusada. funcionando. com um pouco de poeira, que não atrapalha o funcionamento.",1,https://www.enjoei.com.br/p/placa-de-video-gigabyte-geforce-rtx-3080-gaming-oc-10gb-145500074?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=27,6,9,2 dias,set/2020,20260711
745,dalila,loja em destaque,(98 avaliações),"câmera digital vivitar modelo vcc-5724 na cor verde. produto novíssimo, em excelente estado de conservação. ideal para quem busca uma câmera compacta e funcional.",1,https://www.enjoei.com.br/p/camera-digital-vivitar-vcc-5724-verde-144933683?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=28,89,228,3 dias,abr/2015,20260711
746,karol,"Juiz de Fora, MG",(2 avaliações),"saúde da bateria - 88%sem marcas de uso.caixa, carregador, pulseira, tudo original.cor - pratase gps - 40mm",1,https://www.enjoei.com.br/p/apple-watch-se-146358089?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=29,5,2,n/a,jun/2019,20260711
747,joão,loja em destaque,(0 avaliação),"moto z2 play motorola com snap caixa de som jbl funcionando , porém o led da câmera dianteira não funciona. compatível com motosnaps .",1,https://www.enjoei.com.br/p/motorola-moto-z2-play-146288335?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=30,14,1,n/a,abr/2026,20260711
748,coisas,"Brasília, DF",(75 avaliações),"torne seu celular mais fofo com a alça docinho!miçangas delicadas e resistentescolorido, charmoso e vibranteperfeita para presentear ou usar no dia a diacombina com qualquer capinhaa coisas da kk cria produtos pensados para você!",1,https://www.enjoei.com.br/p/alca-para-celular-colorida-docinho-137329440?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,55,235,3 dias,dez/2017,20260711
749,pablo,loja em destaque,(15 avaliações),"calculadora hp 12c gold original, com baterias novas, funcionando perfeitamente. possui uma pequena mancha no visor, conforme as fotos. ideal para estudantes e profissionais que precisam de uma calculadora financeira confiável.",1,https://www.enjoei.com.br/p/calculadora-hp-12c-gold-146044682?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,10,28,2 dias,jun/2018,20260711
750,bruno,"Paranapanema, SP",(1 avaliação),"iphone 12 com 64gb de armazenamento, na cor branca. aparelho usado, sem detalhes e acompanha caixa original. a saúde da bateria está em 76%.",1,https://www.enjoei.com.br/p/iphone-12-64gb-branco-146367421?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,1,1,n/a,nov/2021,20260711
751,amanda,"Rio de Janeiro, RJ",(11 avaliações),"sony zv-1f quase nova, usada poucas vezes! tudo original, sem marcas de uso, lente impecável e gravação 4k. vendo por falta de uso. acompanha acessórios originais e caixa.",1,https://www.enjoei.com.br/p/sony-zv-1f-usada-pouquissimas-vezes-estado-impecavel-146217411?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,2,32,6 dias,dez/2012,20260711
752,carolina,"lages, SC",(0 avaliação),"iphone 12 na cor branca com 64gb de armazenamento. em excelentes condições, sem defeitos ou riscos. face id e câmera funcionando normalmente. já restaurado, pronto para uso. acompanha duas capinhas.",1,https://www.enjoei.com.br/p/iphone-12-branco-64gb-146358038?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=5,2,1,n/a,jun/2026,20260711
753,ana,loja em destaque,(38 avaliações),"monitor lg 24ms500 de 24 polegadas, full hd ips e 100hz. comprado há 2 meses, ainda na garantia de fábrica. acompanha caixa, acessórios e nota fiscal. estado de novo, sem riscos ou defeitos. ideal para trabalho, estudos e jogos. de brinde, leva uma caixa de som gamer com conectividade bluetooth.",1,https://www.enjoei.com.br/p/monitor-lg-24ms500-24-full-hd-ips-100hz-146288310?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=6,82,81,1 dia,ago/2025,20260711
754,joão,"Curitiba, PR",(0 avaliação),detalhes:* marca: multilaser warrior* modelo: tc196* layout: abnt2 (com ç)* conexão: usb* cabo trançado reforçado* teclado numérico completo* teclas multimídia através da tecla fn* compatível com windowso teclado está funcionando normalmente.,1,https://www.enjoei.com.br/p/teclado-gamer-multilaser-warrior-tc196-146407148?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=7,4,2,n/a,out/2022,20260711
755,kris,loja em destaque,(3 avaliações),"câmera digital canon powershot a460, 5mp, na cor prata. ideal para fotos vintage, compacta e fácil de transportar. acompanha pilhas compatíveis. testada e em pleno funcionamento, muito preservada. não acompanha cartão sd.",0,https://www.enjoei.com.br/p/camera-digital-canon-powershot-a460-5mp-146372710?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=8,24,10,7 dias,jul/2019,20260711
756,amanda,"São Paulo, SP",(5 avaliações),"kindle 10 geração, novinho, apenas a iluminação não está funcionando, o resto funciona perfeitamente. vendo com capinha, completo como na foto.",1,https://www.enjoei.com.br/p/kindle-10-geracao-capinha-gatinho-promocao-145981326?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=9,18,11,2 dias,set/2019,20260711
757,andré,loja em destaque,(9 avaliações),"gta iv para playstation 3, em perfeito estado. acompanha o manual ""la guida di liberty city"" e o mapa ""metropolitana di liberty city"".",1,https://www.enjoei.com.br/p/gta-iv-para-ps3-141450028?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=10,122,16,3 dias,dez/2024,20260711
758,gustavo,"borda da mata, MG",(0 avaliação),playstation 5 slim com 1tb de armazenamento e mídia física. acompanha 1 controle dualsense e 2 jogos: returnal e ratchet & clank: em uma outra dimensão. produto original e pronto para jogar.,1,https://www.enjoei.com.br/p/playstation-5-slim-1tb-midia-fisica-2-jogos-146358037?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=11,1,0,n/a,jul/2026,20260711
759,krisllen,loja em destaque,(0 avaliação),"monitor portátil antuvi de 15.6 polegadas, full hd (1080p), hdr, proporção 16:9. acompanha fire tv stick hd da amazon, com 8gb e wi-fi 6. ambos os produtos são novos e vêm na caixa, prontos para uso.",1,https://www.enjoei.com.br/p/monitor-portatil-antuvi-15-6-full-hd-fire-tv-stick-hd-146303561?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=12,28,1,n/a,ago/2016,20260711
760,anderson,loja em destaque,(281 avaliações),"video game xbox 360 slim desbloqueado com 4gb de armazenamento, na cor preta. acompanha controle, fonte e cabo. funcionando perfeitamente. inclui o jogo star wars kinect.controle funcionando perfeitamentenão acompanha hdobs vou mandar alguns jogos paralelodesbloqueio lt 3.0",1,https://www.enjoei.com.br/p/video-game-xbox-360-slim-desbloqueado-4gb-141257200?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=13,2 mil,645,1 dia,out/2024,20260711
761,carlos,"Brasília, DF",(0 avaliação),"apple watch se (2ª geração) de 40mm na cor preta. usado pouquíssimas vezes e acompanha carregador original. em excelente estado de conservação, ideal para quem busca tecnologia e praticidade no dia a dia.",1,https://www.enjoei.com.br/p/apple-watch-se-2-40mm-preto-preco-negociavel-146372699?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=14,1,0,n/a,jun/2023,20260711
762,mayara,"uberlândia, MG",(1 avaliação),"kit com secador taiff black 220v e prancha bivolt, ambos na cor preta. o secador é da marca taiff, modelo black, e a prancha é bivolt. ambos os itens estão em bom estado de conservação, ideais para cuidados com o cabelo.",1,https://www.enjoei.com.br/p/kit-secador-taiff-black-220v-e-prancha-bivolt-146346281?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=15,5,1,n/a,mai/2026,20260711
763,paola,loja em destaque,(1 avaliação),"capinha premium para iphone 12 pro, na cor preta, com material estilo couro. possui tecnologia magsafe e é 100% nova.",1,https://www.enjoei.com.br/p/capinha-iphone-12-pro-preta-magsafe-145945837?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,249,7,n/a,mai/2025,20260711
764,paola,loja em destaque,(1 avaliação),"capinha de couro sintético para iphone 14, com tecnologia magsafe. na cor marrom, nova e sem uso.",1,https://www.enjoei.com.br/p/capinha-iphone-14-magsafe-couro-sintetico-145890834?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,249,7,n/a,mai/2025,20260711
765,paola,loja em destaque,(1 avaliação),capinha de silicone para iphone 15 plus na cor rosa. possui interior aveludado para proteger o aparelho. produto novo.,1,https://www.enjoei.com.br/p/capinha-iphone-15-plus-rosa-silicone-145974371?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,249,7,n/a,mai/2025,20260711
766,paola,loja em destaque,(1 avaliação),"capinha ag-glass magsafe para iphone 17, na cor branca. feita em tpu e pc slim case, com tecnologia magsafe. produto novo e premium, ideal para proteger seu aparelho com estilo e segurança.",1,https://www.enjoei.com.br/p/capinha-ag-glass-magsafe-iphone-17-branca-145944580?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,249,7,n/a,mai/2025,20260711
